domainSize;nIterations;nThreads;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;avgColumnTemperature;totalTime;iterationTime;;
512;19531;10;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_10threads_out_par1,h5;par1;30,967758;3,77E+00;1,93E-04;;7,10
512;19531;11;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_11threads_out_par1,h5;par1;30,967758;3,80E+00;1,95E-04;;7,04
512;19531;12;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_12threads_out_par1,h5;par1;30,967758;3,56E+00;1,82E-04;;7,52
512;19531;13;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_13threads_out_par1,h5;par1;30,967758;3,89E+00;1,99E-04;;6,89
512;19531;14;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_14threads_out_par1,h5;par1;30,967758;3,17E+00;1,62E-04;;8,44
512;19531;15;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_15threads_out_par1,h5;par1;30,967758;2,99E+00;1,53E-04;;8,96
512;19531;16;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_16threads_out_par1,h5;par1;30,96776;3,79E+00;1,94E-04;;7,06
512;19531;2;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_2threads_out_par2,h5;par2;30,967758;5,33E+00;2,73E-04;;5,02
512;19531;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_3threads_out_par2,h5;par2;30,967758;3,08E+00;1,58E-04;;8,70
512;19531;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_4threads_out_par2,h5;par2;30,967758;6,00E+00;3,07E-04;;4,46
512;19531;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_5threads_out_par2,h5;par2;30,967758;3,57E+00;1,83E-04;;7,49
512;19531;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_6threads_out_par2,h5;par2;30,967758;4,15E+00;2,13E-04;;6,44
512;19531;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_7threads_out_par2,h5;par2;30,967758;3,08E+00;1,58E-04;;8,69
512;19531;8;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_8threads_out_par2,h5;par2;30,967758;3,06E+00;1,57E-04;;8,74
512;19531;9;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_9threads_out_par2,h5;par2;30,967758;3,00E+00;1,54E-04;;8,91
512;19531;10;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_10threads_out_par2,h5;par2;30,967758;5,33E+00;2,73E-04;;5,02
512;19531;11;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_11threads_out_par2,h5;par2;30,967758;4,23E+00;2,17E-04;;6,32
512;19531;12;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_12threads_out_par2,h5;par2;30,967758;2,87E+00;1,47E-04;;9,31
512;19531;13;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_13threads_out_par2,h5;par2;30,967758;5,68E+00;2,91E-04;;4,71
